post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:sport,attribute:Packages,attribute_data:Packages,attribute:pa_certification,attribute_data:pa_certification,attribute:pa_package,attribute_data:pa_package
"Dr Neha's Physioglobe",dr-nehas-physioglobe,,2834,"Discover a haven of personalized care at Dr. Neha's Physioglobe, where skilled physiotherapy team combines cutting-edge techniques with compassionate guidance to enhance your mobility and well-being. Experience tailored treatment plans in a welcoming environment, designed to empower you on your journey to optimal physical health.",,publish,,0,"2024-03-18 11:24:34",1,open,,,,no,yes,,199,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20240316223852-2024-03-16tbl_experience223836.jpeg ! alt :  ! title : 20240316223852-2024-03-16tbl_experience223836 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/dr-nehas-physioglobe/,0,simple,,"Punjab|Punjab > Zirakpur",Experience,,,,,,,,
"TIDA X FOREST KICKS Tournament",tida-x-forest-kicks-tournament,,2836,"Join our thrilling 6-a-side football tournament spanning two action-packed days! Secure your spot with early bird pricing at Rs 2499.Gather your team for a weekend of intense competition and camaraderie on the pitch.","Join our thrilling 6-a-side football tournament spanning two action-packed days! Secure your spot with early bird pricing at Rs 2499.Gather your team for a weekend of intense competition and camaraderie on the pitch.",publish,,0,"2024-03-18 11:30:52",1,open,,,,no,yes,,2499,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20240123161713-2024-01-23tbl_experience161709-scaled.jpeg ! alt :  ! title : 20240123161713-2024-01-23tbl_experience161709 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/tida-x-forest-kicks-tournament/,0,simple,,Chandigarh,Experience,,,,,,,,
"MINI FOOTBALL 2.0",mini-football-2-0,,2838,"Join us for an exhilarating football extravaganza featuring U-10 and U-14 talent on December 2nd and 3rd! Watch live on our company app as budding young athletes showcase their skills. To participate, don't forget to provide proof of date of birth; it's a must for all entrants. Don't miss the chance to witness the future stars of the beautiful game in action!","Join us for an exhilarating football extravaganza featuring U-10 and U-14 talent on December 2nd and 3rd! Watch live on our company app as budding young athletes showcase their skills. To participate, don't forget to provide proof of date of birth; it's a must for all entrants. Don't miss the chance to witness the future stars of the beautiful game in action!",publish,,0,"2024-03-18 11:34:09",1,open,,,,no,yes,,1999,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/2055image_cropper_1700821218711.jpg ! alt :  ! title : 2055image_cropper_1700821218711 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/mini-football-2-0/,0,simple,,Punjab,Experience,,,,,,,,
"virtual G.k quiz competition",virtual-g-k-quiz-competition,,2877,"virtual G.k quiz competition timings 8AM TO 5PM","virtual G.k quiz competition timings 8AM TO 5PM",publish,,0,"2024-03-18 12:36:49",1,open,,,,no,yes,,240,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-8-1.jpeg ! alt :  ! title : experience-image-8 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/virtual-g-k-quiz-competition/,0,simple,,"Punjab > Kharar",Experience,,,,,,,,
Singing,singing,,2878,"Singing Competition","Singing Competition",publish,,0,"2024-03-18 12:36:53",1,open,,,,no,yes,,199,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-7-1.png ! alt :  ! title : experience-image-7 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/singing/,0,simple,,Punjab,Experience,,,,,,,,
"Psychology Sessions for Students",psychology-sessions-for-students,,2879,"Nurturing Young Minds: Empower Your Child's overall Growth with Specialized Psychology Sessions. It is important to build a strong foundation for your child's mental and emotional well-being. Our skilled psychologists offer age-appropriate, personalised and engaging sessions that help children express their feelings, develop coping skills, and build confidence and learn how to interact. Invest in your child's future by giving them the tools to life and ensure a happy life.","Nurturing Young Minds: Empower Your Child's overall Growth with Specialized Psychology Sessions. It is important to build a strong foundation for your child's mental and emotional well-being. Our skilled psychologists offer age-appropriate, personalised and engaging sessions that help children express their feelings, develop coping skills, and build confidence and learn how to interact. Invest in your child's future by giving them the tools to life and ensure a happy life.",publish,,0,"2024-03-18 12:36:56",1,open,,,,no,yes,,800,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-6-1.jpg ! alt :  ! title : experience-image-6 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/psychology-sessions-for-students/,0,simple,,"Punjab > Mohali|Punjab",Experience,,,,,,,,
"Psychology Sessions for Adults",psychology-sessions-for-adults,,2880,"Unlock Your Potential in 60 minutes: Discover the Power of Your Mind with Personalized Psychology Sessions. Are you seeking clarity, confidence, and emotional well-being? Our expert psychologists provide a safe and supportive environment to explore your thoughts, emotions, and behaviors. Through evidence-based techniques, we'll help you navigate challenges, build resilience, and achieve your goals. Invest in your mental well-being today and embark on a transformative journey towards happiness.","Unlock Your Potential in 60 minutes: Discover the Power of Your Mind with Personalized Psychology Sessions. Are you seeking clarity, confidence, and emotional well-being? Our expert psychologists provide a safe and supportive environment to explore your thoughts, emotions, and behaviors. Through evidence-based techniques, we'll help you navigate challenges, build resilience, and achieve your goals. Invest in your mental well-being today and embark on a transformative journey towards happiness.",publish,,0,"2024-03-18 12:36:59",1,open,,,,no,yes,,850,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-5-1.jpg ! alt :  ! title : experience-image-5 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/psychology-sessions-for-adults/,0,simple,,"Punjab > Mohali|Punjab",Experience,,,,,,,,
"Psychology Consultation Session",psychology-consultation-session,,2881,"A 30-minute consultation to assess behavioural, mental and emotional health of students. This will benefit adults, students and their families in understanding the solutions and positive changes needed to lead a successful and happy life. Focus and steps ahead will be set through proper prioritisation.","A 30-minute consultation to assess behavioural, mental and emotional health of students. This will benefit adults, students and their families in understanding the solutions and positive changes needed to lead a successful and happy life. Focus and steps ahead will be set through proper prioritisation.",publish,,0,"2024-03-18 12:37:02",1,open,,,,no,yes,,400,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-4-1.jpg ! alt :  ! title : experience-image-4 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/psychology-consultation-session/,0,simple,,"Punjab > Mohali|Punjab",Experience,,,,,,,,
"SG MEC DRIVE",sg-mec-drive,,2882,"Experience the exhilaration of driving a sports car right from your mobile device! Our gaming steering brings the thrill of high-speed racing with precise control. Feel every turn, accelerate with precision and conquer the track like a true champion. Get ready for heart-pounding action &amp; the authentic experience of driving a sports car, all in the palm of your hand.","Experience the exhilaration of driving a sports car right from your mobile device! Our gaming steering brings the thrill of high-speed racing with precise control. Feel every turn, accelerate with precision and conquer the track like a true champion. Get ready for heart-pounding action &amp; the authentic experience of driving a sports car, all in the palm of your hand.",publish,,0,"2024-03-18 12:37:05",1,open,,,,no,yes,,399,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-3.jpg ! alt :  ! title : experience-image-3 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/sg-mec-drive/,0,simple,,Punjab,Experience,,,,,,,,
Nutritionist,nutritionist,,2883,"The secrets to nurturing the health and vitality of children aged 3 to 12 years with essential insights into the nutritional needs of growing children is balanced diet which helps in fueling their growth, development, and energy. Meet our nutritionist who offers practical tips and suggestions for promoting healthy eating habits in children, including the importance of incorporating a variety of colorful fruits and vegetables into their daily meals.","The secrets to nurturing the health and vitality of children aged 3 to 12 years with essential insights into the nutritional needs of growing children is balanced diet which helps in fueling their growth, development, and energy. Meet our nutritionist who offers practical tips and suggestions for promoting healthy eating habits in children, including the importance of incorporating a variety of colorful fruits and vegetables into their daily meals.",publish,,0,"2024-03-18 12:37:08",1,open,,,,no,yes,,99,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-2.jpg ! alt :  ! title : experience-image-2 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/nutritionist/,0,simple,,Punjab,Experience,,,,,,,,
